,paths,c,r,e,n
0,DATASET/A1/c1/r1/images/e0/c1r1e0n1.tif,1,1,0,1
1,DATASET/A1/c1/r1/images/e0/c1r1e0n2.tif,1,1,0,2
2,DATASET/A1/c1/r1/images/e0/c1r1e0n3.tif,1,1,0,3
3,DATASET/A1/c1/r1/images/e0/c1r1e0n4.tif,1,1,0,4
4,DATASET/A1/c1/r1/images/e0/c1r1e0n5.tif,1,1,0,5
5,DATASET/A1/c1/r1/images/e0/c1r1e0n6.tif,1,1,0,6
6,DATASET/A1/c1/r1/images/e0/c1r1e0n7.tif,1,1,0,7
7,DATASET/A1/c1/r1/images/e0/c1r1e0n8.tif,1,1,0,8
8,DATASET/A1/c1/r1/images/e0/c1r1e0n9.tif,1,1,0,9
9,DATASET/A1/c1/r1/images/e0/c1r1e0n10.tif,1,1,0,10
10,DATASET/A1/c1/r1/images/e0/c1r1e0n11.tif,1,1,0,11
11,DATASET/A1/c1/r1/images/e0/c1r1e0n12.tif,1,1,0,12
12,DATASET/A1/c1/r1/images/e0/c1r1e0n13.tif,1,1,0,13
13,DATASET/A1/c1/r1/images/e0/c1r1e0n14.tif,1,1,0,14
14,DATASET/A1/c1/r1/images/e0/c1r1e0n15.tif,1,1,0,15
15,DATASET/A1/c1/r1/images/e0/c1r1e0n16.tif,1,1,0,16
16,DATASET/A1/c1/r1/images/e0/c1r1e0n17.tif,1,1,0,17
17,DATASET/A1/c1/r1/images/e0/c1r1e0n18.tif,1,1,0,18
18,DATASET/A1/c1/r1/images/e0/c1r1e0n19.tif,1,1,0,19
19,DATASET/A1/c1/r1/images/e0/c1r1e0n20.tif,1,1,0,20
20,DATASET/A1/c1/r1/images/e0/c1r1e0n21.tif,1,1,0,21
21,DATASET/A1/c1/r1/images/e0/c1r1e0n22.tif,1,1,0,22
22,DATASET/A1/c1/r1/images/e0/c1r1e0n23.tif,1,1,0,23
23,DATASET/A1/c1/r1/images/e0/c1r1e0n24.tif,1,1,0,24
24,DATASET/A1/c1/r1/images/e0/c1r1e0n25.tif,1,1,0,25
25,DATASET/A1/c1/r1/images/e0/c1r1e0n26.tif,1,1,0,26
26,DATASET/A1/c1/r1/images/e0/c1r1e0n27.tif,1,1,0,27
27,DATASET/A1/c1/r1/images/e0/c1r1e0n28.tif,1,1,0,28
28,DATASET/A1/c1/r1/images/e0/c1r1e0n29.tif,1,1,0,29
29,DATASET/A1/c1/r1/images/e0/c1r1e0n30.tif,1,1,0,30
30,DATASET/A1/c1/r1/images/e0/c1r1e0n31.tif,1,1,0,31
